func,iter,xcen,ycen,depth,radius,dP_mu
2.027025e+01,17,4.2624219e+05,4.5186836e+06,3.8763771e+03,9.2593287e+02,4.7186724e-03
2.027046e+01,19,4.2625491e+05,4.5186738e+06,3.8603644e+03,9.2008028e+02,4.7425794e-03
2.027052e+01,18,4.2623246e+05,4.5186456e+06,3.9536823e+03,9.0983163e+02,4.9868925e-03
2.027053e+01,19,4.2621877e+05,4.5186560e+06,3.9920625e+03,9.5508413e+02,4.4844634e-03
2.027115e+01,18,4.2621913e+05,4.5186359e+06,3.9096509e+03,9.7397789e+02,4.1373884e-03
2.027221e+01,17,4.2622467e+05,4.5186505e+06,3.8670441e+03,9.5768764e+02,4.1875050e-03
2.027279e+01,18,4.2622748e+05,4.5186286e+06,4.0016382e+03,9.6552665e+02,4.3723696e-03
2.027281e+01,19,4.2621940e+05,4.5186490e+06,3.8583372e+03,9.2299808e+02,4.6712011e-03
2.027313e+01,19,4.2621918e+05,4.5186548e+06,3.8699770e+03,9.2502901e+02,4.7393002e-03
2.027387e+01,17,4.2623988e+05,4.5186386e+06,3.8796863e+03,8.9954655e+02,5.0627909e-03
2.027390e+01,18,4.2622283e+05,4.5186587e+06,3.8633533e+03,9.1975123e+02,4.7065588e-03
2.027429e+01,18,4.2625910e+05,4.5186519e+06,3.8942828e+03,9.1811183e+02,4.7909215e-03
2.027492e+01,18,4.2624702e+05,4.5186573e+06,3.9086551e+03,9.7303640e+02,4.1589132e-03
2.027621e+01,18,4.2621755e+05,4.5186569e+06,3.8986222e+03,1.0515428e+03,3.2560371e-03
2.027653e+01,19,4.2625746e+05,4.5186620e+06,3.9616892e+03,9.7708019e+02,4.1225701e-03
2.027710e+01,19,4.2620810e+05,4.5186538e+06,3.8671630e+03,9.2078022e+02,4.7187178e-03
2.027719e+01,19,4.2623396e+05,4.5186784e+06,3.9038756e+03,9.0754016e+02,4.9522886e-03
2.027737e+01,19,4.2623725e+05,4.5186243e+06,4.0094724e+03,9.6632720e+02,4.3620658e-03
2.027752e+01,19,4.2625700e+05,4.5186379e+06,3.8961436e+03,9.0111529e+02,5.1734878e-03
2.027772e+01,19,4.2624249e+05,4.5186542e+06,3.8523755e+03,9.6475900e+02,4.0931584e-03
2.027798e+01,19,4.2627089e+05,4.5186562e+06,3.9120280e+03,9.0056059e+02,5.1210271e-03
2.027809e+01,19,4.2619884e+05,4.5186611e+06,3.9395633e+03,9.4837151e+02,4.4660749e-03
2.027848e+01,18,4.2624038e+05,4.5186899e+06,3.8718609e+03,9.0729671e+02,4.9618211e-03
2.027900e+01,19,4.2626928e+05,4.5186444e+06,3.9027029e+03,9.3219976e+02,4.6421524e-03
2.027957e+01,18,4.2626722e+05,4.5186737e+06,3.9079625e+03,9.0741895e+02,5.0781725e-03
2.028023e+01,19,4.2624154e+05,4.5186895e+06,3.8840144e+03,9.2181342e+02,4.7441457e-03
2.028027e+01,19,4.2623393e+05,4.5186524e+06,3.9211712e+03,1.0458140e+03,3.3611850e-03
2.028055e+01,17,4.2621566e+05,4.5186206e+06,3.9971159e+03,9.6638192e+02,4.3297456e-03
2.028067e+01,18,4.2621372e+05,4.5186550e+06,3.9870949e+03,9.6435359e+02,4.3081667e-03
2.028121e+01,19,4.2625233e+05,4.5186540e+06,3.9678477e+03,9.7992060e+02,4.0712658e-03
2.028126e+01,19,4.2625065e+05,4.5186464e+06,3.8676076e+03,1.0371305e+03,3.3521107e-03
2.028207e+01,19,4.2624828e+05,4.5186328e+06,3.9857543e+03,9.5379065e+02,4.4239884e-03
2.028225e+01,19,4.2623018e+05,4.5186352e+06,3.8675011e+03,9.6008312e+02,4.1773454e-03
2.028257e+01,17,4.2623567e+05,4.5186578e+06,3.8451755e+03,9.6013747e+02,4.1937484e-03
2.028291e+01,18,4.2624336e+05,4.5186676e+06,3.9666694e+03,9.8027967e+02,4.1147267e-03
2.028299e+01,17,4.2623263e+05,4.5186830e+06,3.8800538e+03,8.9368907e+02,5.1488291e-03
2.028394e+01,19,4.2619781e+05,4.5186538e+06,3.8918372e+03,9.2829744e+02,4.6931472e-03
2.028408e+01,19,4.2622764e+05,4.5186810e+06,3.8772375e+03,9.2714173e+02,4.7133768e-03
2.028458e+01,19,4.2622911e+05,4.5186261e+06,3.9117884e+03,9.1396388e+02,4.8746031e-03
2.028463e+01,18,4.2622406e+05,4.5186256e+06,4.0133457e+03,9.6584152e+02,4.3696021e-03
2.028485e+01,19,4.2623251e+05,4.5186326e+06,3.9286481e+03,9.2088355e+02,4.7790109e-03
2.028492e+01,19,4.2622351e+05,4.5186903e+06,3.9049008e+03,9.0877090e+02,5.0234086e-03
2.028498e+01,19,4.2620982e+05,4.5186809e+06,3.9253716e+03,8.9522299e+02,5.2160568e-03
2.028579e+01,19,4.2622681e+05,4.5186867e+06,3.8873559e+03,8.9547264e+02,5.1389039e-03
2.028585e+01,16,4.2621327e+05,4.5186323e+06,3.8900136e+03,9.6743181e+02,4.1726050e-03
2.028592e+01,18,4.2625716e+05,4.5186202e+06,3.9805956e+03,9.5062023e+02,4.4962042e-03
