xtlc,ytlc,dtlc,length,width,dip,opening
4.2493353e+05,4.5197114e+06,3.6560350e+03,2.4817387e+03,2.2014995e+03,1.6996952e-01,1.2347452e+00
4.2502090e+05,4.5195830e+06,3.7536904e+03,2.2528422e+03,1.9562489e+03,1.5785775e-01,1.5303187e+00
4.2505536e+05,4.5195626e+06,3.6825217e+03,2.2924777e+03,1.9465102e+03,4.8951089e-01,1.5202533e+00
4.2492729e+05,4.5197120e+06,3.6517095e+03,2.4936303e+03,2.2215292e+03,2.7455534e-01,1.2313549e+00
4.2525688e+05,4.5193636e+06,4.0624529e+03,1.8383144e+03,1.9385876e+03,1.4311208e+00,2.2650467e+00
4.2510198e+05,4.5195365e+06,3.6750117e+03,2.2251071e+03,1.8314526e+03,2.8360888e-01,1.6347004e+00
4.2506859e+05,4.5195762e+06,3.7144991e+03,2.2515082e+03,1.9032313e+03,2.6321155e-01,1.5714658e+00
4.2493999e+05,4.5197306e+06,3.6681229e+03,2.5026530e+03,2.2666539e+03,2.6005876e-01,1.2085039e+00
4.2497037e+05,4.5196426e+06,3.7256762e+03,2.3595826e+03,2.0975333e+03,2.1089611e-01,1.3840899e+00
4.2488249e+05,4.5197456e+06,3.6578380e+03,2.5525055e+03,2.3595643e+03,2.4630372e-01,1.1380965e+00
4.2504982e+05,4.5195762e+06,3.7243210e+03,2.2750749e+03,1.9480558e+03,5.1430584e-01,1.5354249e+00
4.2508000e+05,4.5195772e+06,3.7396546e+03,2.2231063e+03,1.8896199e+03,1.6199824e-01,1.6012866e+00
4.2489560e+05,4.5197280e+06,3.6529617e+03,2.5159070e+03,2.2849615e+03,1.0408538e-01,1.1889196e+00
4.2491999e+05,4.5197354e+06,3.6352308e+03,2.5353472e+03,2.2842618e+03,2.0600918e-01,1.1654889e+00
4.2494586e+05,4.5196873e+06,3.6549722e+03,2.4521151e+03,2.1532072e+03,1.6727131e-01,1.2785264e+00
4.2503195e+05,4.5195909e+06,3.7533256e+03,2.2532708e+03,1.9543856e+03,1.5425874e-01,1.5362006e+00
4.2507325e+05,4.5195577e+06,3.6810224e+03,2.2661296e+03,1.9028381e+03,3.3598979e-01,1.5595628e+00
4.2491184e+05,4.5197262e+06,3.6453297e+03,2.5203669e+03,2.2580713e+03,2.8426991e-01,1.1933491e+00
4.2527485e+05,4.5193437e+06,4.0854928e+03,1.8010272e+03,1.9205481e+03,1.4973729e+00,2.3239171e+00
4.2509641e+05,4.5195455e+06,3.6850228e+03,2.2252057e+03,1.8396913e+03,2.4031828e-01,1.6293808e+00
4.2505772e+05,4.5195833e+06,3.7187490e+03,2.2603256e+03,1.9227478e+03,2.5059649e-01,1.5542500e+00
4.2493125e+05,4.5197351e+06,3.6713556e+03,2.5111782e+03,2.2943189e+03,2.4159666e-01,1.1922572e+00
4.2499641e+05,4.5196201e+06,3.7459638e+03,2.3061418e+03,2.0291919e+03,2.0071671e-01,1.4619134e+00
4.2489212e+05,4.5197365e+06,3.6645834e+03,2.5353365e+03,2.3401642e+03,2.5779225e-01,1.1625039e+00
4.2507065e+05,4.5195709e+06,3.7350740e+03,2.2425831e+03,1.9116509e+03,3.8733706e-01,1.5792880e+00
4.2508834e+05,4.5195762e+06,3.7504915e+03,2.2080157e+03,1.8783925e+03,1.2333785e-01,1.6190228e+00
4.2489560e+05,4.5197280e+06,3.6529617e+03,2.5159070e+03,2.2849615e+03,1.0408538e-01,1.1889196e+00
4.2491308e+05,4.5197297e+06,3.6442921e+03,2.5220003e+03,2.2776510e+03,1.6376694e-01,1.1825775e+00
4.2496347e+05,4.5196545e+06,3.6536450e+03,2.4037001e+03,2.0598448e+03,1.2426351e-01,1.3477821e+00
4.2504329e+05,4.5195826e+06,3.7516276e+03,2.2391395e+03,1.9302795e+03,1.4199450e-01,1.5597542e+00
