func,iter,xcen,ycen,depth,dP_mu
2.041752e+01,11,4.2619019e+05,4.5186161e+06,3.9588160e+03,3.8529662e-03
2.041805e+01,11,4.2627826e+05,4.5186584e+06,3.9622128e+03,3.8606128e-03
2.041825e+01,11,4.2622013e+05,4.5186661e+06,3.9368325e+03,3.7489069e-03
2.041922e+01,11,4.2619949e+05,4.5186352e+06,3.8743103e+03,3.6844729e-03
2.041946e+01,11,4.2620616e+05,4.5186353e+06,3.9089739e+03,3.8490117e-03
2.041967e+01,11,4.2620564e+05,4.5186375e+06,3.9946654e+03,3.8478625e-03
2.041994e+01,11,4.2623798e+05,4.5186448e+06,4.0012443e+03,3.9759860e-03
2.042009e+01,11,4.2622338e+05,4.5185951e+06,3.9803099e+03,3.8790840e-03
2.042067e+01,11,4.2620240e+05,4.5186237e+06,3.9569040e+03,3.7891472e-03
2.042067e+01,10,4.2626672e+05,4.5186502e+06,3.9968040e+03,3.9424914e-03
2.042157e+01,11,4.2620882e+05,4.5186363e+06,3.8532529e+03,3.6563968e-03
2.042255e+01,10,4.2623014e+05,4.5186411e+06,3.9158049e+03,3.8784868e-03
2.042323e+01,10,4.2620525e+05,4.5186574e+06,3.8886721e+03,3.6841517e-03
2.042580e+01,11,4.2622850e+05,4.5186332e+06,3.9602115e+03,3.9365546e-03
2.042587e+01,11,4.2619309e+05,4.5186607e+06,3.9343823e+03,3.8515206e-03
2.042612e+01,11,4.2621614e+05,4.5186230e+06,3.9592547e+03,3.7816607e-03
2.042629e+01,11,4.2623450e+05,4.5186005e+06,4.0140149e+03,3.9158197e-03
2.042630e+01,11,4.2621234e+05,4.5186230e+06,4.0293685e+03,3.9220815e-03
2.042631e+01,11,4.2620015e+05,4.5186621e+06,3.9592211e+03,3.8017421e-03
2.042670e+01,10,4.2624986e+05,4.5186959e+06,3.8445197e+03,3.7031404e-03
2.042700e+01,11,4.2621897e+05,4.5186233e+06,3.8627840e+03,3.6740801e-03
2.042729e+01,11,4.2619157e+05,4.5186177e+06,3.9518545e+03,3.8686602e-03
2.042733e+01,11,4.2624163e+05,4.5186172e+06,4.0385380e+03,3.9897107e-03
2.042788e+01,11,4.2622973e+05,4.5186314e+06,3.8492143e+03,3.6508318e-03
2.042801e+01,11,4.2620545e+05,4.5186056e+06,3.9048832e+03,3.7797458e-03
2.042829e+01,11,4.2623400e+05,4.5185956e+06,3.9882540e+03,3.8805488e-03
2.042836e+01,11,4.2621197e+05,4.5186398e+06,3.8849163e+03,3.8204039e-03
2.042844e+01,11,4.2624512e+05,4.5186311e+06,4.0439356e+03,3.9822216e-03
2.042853e+01,11,4.2622980e+05,4.5186111e+06,4.0141218e+03,3.9794356e-03
2.042937e+01,11,4.2628198e+05,4.5186650e+06,3.8859386e+03,3.7455019e-03
2.043057e+01,11,4.2626837e+05,4.5186203e+06,3.9822607e+03,3.8605082e-03
2.043111e+01,10,4.2620927e+05,4.5186660e+06,3.9929544e+03,3.9106804e-03
2.043164e+01,11,4.2627854e+05,4.5186626e+06,3.8732445e+03,3.7132869e-03
2.043184e+01,11,4.2623739e+05,4.5185992e+06,3.9316051e+03,3.7913227e-03
2.043275e+01,10,4.2624203e+05,4.5186891e+06,3.9524028e+03,3.8491646e-03
2.043299e+01,11,4.2618659e+05,4.5186527e+06,3.8608016e+03,3.7187927e-03
2.043310e+01,11,4.2620237e+05,4.5186791e+06,3.9362381e+03,3.8362601e-03
2.043332e+01,11,4.2625193e+05,4.5186403e+06,4.0288211e+03,3.9868432e-03
2.043432e+01,11,4.2621960e+05,4.5186040e+06,4.0283141e+03,3.9515038e-03
2.043449e+01,11,4.2620188e+05,4.5186425e+06,3.8726397e+03,3.6696950e-03
2.043535e+01,11,4.2627807e+05,4.5186224e+06,3.9511711e+03,3.8558712e-03
2.043598e+01,11,4.2619570e+05,4.5186251e+06,3.9985946e+03,3.9340620e-03
2.043628e+01,11,4.2619979e+05,4.5186065e+06,3.9267381e+03,3.8298477e-03
2.043630e+01,11,4.2625217e+05,4.5186878e+06,3.8145583e+03,3.6657542e-03
2.043716e+01,11,4.2622931e+05,4.5186526e+06,3.9598264e+03,3.7728767e-03
2.043756e+01,11,4.2625293e+05,4.5186384e+06,4.0217294e+03,3.9019211e-03
2.043772e+01,11,4.2624901e+05,4.5186447e+06,3.8138963e+03,3.6834936e-03
2.043779e+01,11,4.2620567e+05,4.5186786e+06,3.9555739e+03,3.8238929e-03
2.043811e+01,10,4.2620046e+05,4.5186256e+06,3.8540248e+03,3.6885181e-03
