func,iter,xcen,ycen,depth,radius,dP_mu
1.193740e+01,10,4.2626899e+05,4.5188325e+06,2.4251802e+03,9.0497654e+02,1.9384146e-03
1.194293e+01,8,4.2635291e+05,4.5187358e+06,2.7384591e+03,7.1771021e+02,5.1442505e-03
1.194837e+01,11,4.2618492e+05,4.5188409e+06,2.5034719e+03,8.8931546e+02,2.2063438e-03
1.195504e+01,7,4.2635783e+05,4.5188950e+06,2.6569266e+03,5.9446202e+02,8.2785551e-03
1.195579e+01,8,4.2636576e+05,4.5187902e+06,2.4231159e+03,8.9305353e+02,2.0327392e-03
1.195922e+01,11,4.2632070e+05,4.5187270e+06,2.9707953e+03,7.2321960e+02,5.5554135e-03
1.196375e+01,8,4.2614308e+05,4.5187133e+06,2.7878608e+03,8.4556731e+02,2.9780134e-03
1.197047e+01,10,4.2624555e+05,4.5188315e+06,2.5032409e+03,5.3843029e+02,9.3092609e-03
1.201349e+01,9,4.2628099e+05,4.5187486e+06,2.7718050e+03,7.1720714e+02,4.5489475e-03
1.203352e+01,11,4.2636962e+05,4.5186711e+06,2.8071622e+03,8.9276985e+02,2.7600561e-03
1.206628e+01,9,4.2619930e+05,4.5187753e+06,2.7028328e+03,5.7741248e+02,9.4415371e-03
1.206932e+01,11,4.2625848e+05,4.5187493e+06,2.6466366e+03,5.8084884e+02,9.1148724e-03
1.209346e+01,10,4.2627033e+05,4.5188168e+06,2.5924357e+03,7.5120278e+02,4.1199229e-03
1.209472e+01,11,4.2635050e+05,4.5187463e+06,2.7268065e+03,7.3463614e+02,4.1467315e-03
1.209777e+01,11,4.2640950e+05,4.5187253e+06,2.8021441e+03,8.1304835e+02,3.2856201e-03
1.211839e+01,11,4.2630922e+05,4.5187208e+06,2.5484036e+03,5.5748022e+02,9.5953358e-03
1.213468e+01,11,4.2625889e+05,4.5186732e+06,2.5301508e+03,8.2196286e+02,2.9104001e-03
1.213553e+01,11,4.2617528e+05,4.5187607e+06,2.6297385e+03,7.3740260e+02,3.9366291e-03
1.213664e+01,10,4.2620290e+05,4.5186819e+06,2.8074941e+03,7.3685846e+02,4.3472647e-03
