xcen,ycen,depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.2679722e+05,4.5178996e+06,4.9621990e+03,2.2442527e+07,3.3418430e+07,3.2650826e+07,4.0805580e+05,3.7864851e+06,-3.6469451e+06
4.2680776e+05,4.5179613e+06,4.9442655e+03,2.1690051e+07,3.3310486e+07,3.2391628e+07,4.9225634e+05,3.8166651e+06,-3.6150840e+06
4.2679655e+05,4.5179040e+06,4.8972313e+03,2.1959367e+07,3.3145459e+07,3.2417304e+07,9.1913610e+05,3.8420519e+06,-3.4558730e+06
4.2676780e+05,4.5179219e+06,4.9120352e+03,2.3164207e+07,3.3927381e+07,3.2942805e+07,7.2307427e+05,3.6108956e+06,-3.5560194e+06
4.2678182e+05,4.5179176e+06,4.9591550e+03,2.2333720e+07,3.3461755e+07,3.2448023e+07,4.2809328e+05,3.8700630e+06,-3.5823834e+06
4.2676219e+05,4.5179874e+06,4.8759559e+03,2.2782727e+07,3.3780777e+07,3.2507395e+07,8.6719681e+05,3.6880499e+06,-3.3671048e+06
4.2680135e+05,4.5178968e+06,4.9473922e+03,2.2105384e+07,3.2951965e+07,3.2367579e+07,5.2116388e+05,3.9330876e+06,-3.5219260e+06
4.2677757e+05,4.5179143e+06,4.8763355e+03,2.2074461e+07,3.3778604e+07,3.2587444e+07,1.1387865e+06,3.7002454e+06,-3.5231646e+06
4.2677135e+05,4.5179637e+06,4.8770672e+03,2.2275968e+07,3.3927518e+07,3.2488279e+07,1.0078672e+06,3.6519474e+06,-3.4782275e+06
4.2679410e+05,4.5179258e+06,4.9367537e+03,2.2056627e+07,3.3739003e+07,3.2568647e+07,6.8237927e+05,3.7256164e+06,-3.6809385e+06
4.2680238e+05,4.5179419e+06,4.9647114e+03,2.1513709e+07,3.3295981e+07,3.2047421e+07,5.0423431e+05,3.8805285e+06,-3.6539235e+06
4.2679480e+05,4.5179196e+06,4.9287220e+03,2.1886567e+07,3.3152682e+07,3.2260267e+07,6.4465107e+05,3.9006869e+06,-3.4912623e+06
4.2674716e+05,4.5180223e+06,4.8887304e+03,2.2249846e+07,3.4273988e+07,3.2559328e+07,8.6367553e+05,3.5374611e+06,-3.4681881e+06
4.2679156e+05,4.5178962e+06,4.9167259e+03,2.2126150e+07,3.3118897e+07,3.2657622e+07,7.6709555e+05,3.8079482e+06,-3.5080984e+06
4.2676235e+05,4.5179572e+06,4.8964509e+03,2.2373561e+07,3.4052131e+07,3.2656968e+07,8.7873963e+05,3.6492007e+06,-3.5313190e+06
