func,iter,xtlc,ytlc,dtlc,length,opening
2.128202e+01,10,4.2567081e+05,4.5194065e+06,4.0557796e+03,1.1636330e+03,3.8280751e+00
2.128271e+01,11,4.2555760e+05,4.5195745e+06,3.8454984e+03,1.2622615e+03,3.4048504e+00
2.128274e+01,10,4.2525065e+05,4.5195609e+06,3.6632134e+03,1.8596541e+03,2.1175900e+00
2.128903e+01,11,4.2527055e+05,4.5195109e+06,4.0165186e+03,2.0035016e+03,2.2317694e+00
2.129595e+01,11,4.2551581e+05,4.5195051e+06,4.1295514e+03,1.4375459e+03,3.3017284e+00
2.129662e+01,11,4.2556438e+05,4.5194961e+06,3.8776167e+03,1.4325362e+03,3.0672948e+00
2.129789e+01,11,4.2520350e+05,4.5194960e+06,3.9557890e+03,1.9878343e+03,2.1608308e+00
2.130514e+01,11,4.2518898e+05,4.5195060e+06,3.9749286e+03,1.9990517e+03,2.2631312e+00
2.130803e+01,11,4.2503841e+05,4.5195545e+06,3.7664278e+03,2.4408966e+03,1.7376293e+00
2.131293e+01,11,4.2522502e+05,4.5195262e+06,4.0067206e+03,1.9939840e+03,2.1938604e+00
2.131645e+01,10,4.2528482e+05,4.5194891e+06,4.0085778e+03,1.9646212e+03,2.2553505e+00
2.131798e+01,9,4.2514932e+05,4.5195212e+06,3.8287492e+03,2.0484138e+03,2.1080344e+00
2.131826e+01,10,4.2561714e+05,4.5195577e+06,3.7655574e+03,1.2609282e+03,3.3268320e+00
2.132175e+01,11,4.2564733e+05,4.5195834e+06,3.7162787e+03,1.2828418e+03,3.0557314e+00
2.132430e+01,11,4.2561911e+05,4.5194353e+06,3.9648014e+03,1.1988134e+03,3.5014258e+00
2.132525e+01,11,4.2549953e+05,4.5194676e+06,3.8580156e+03,1.2975557e+03,3.1707036e+00
2.133061e+01,11,4.2522304e+05,4.5194689e+06,3.9615516e+03,1.9655899e+03,2.2063492e+00
2.134549e+01,11,4.2519776e+05,4.5195312e+06,3.9634391e+03,1.9184738e+03,2.2514626e+00
2.134764e+01,11,4.2538234e+05,4.5194616e+06,4.0463064e+03,1.5557496e+03,2.9288180e+00
2.134859e+01,11,4.2531160e+05,4.5195273e+06,3.9017752e+03,1.9925382e+03,2.2153983e+00
2.135315e+01,10,4.2553527e+05,4.5194535e+06,3.8106873e+03,1.3060691e+03,3.1105786e+00
2.135770e+01,10,4.2544832e+05,4.5196307e+06,3.9120506e+03,1.5261239e+03,2.7773220e+00
2.135970e+01,11,4.2527763e+05,4.5195403e+06,3.7496008e+03,1.9870440e+03,2.1309546e+00
2.136767e+01,10,4.2555434e+05,4.5195764e+06,3.6636910e+03,1.3603653e+03,2.8206523e+00
2.136822e+01,11,4.2559775e+05,4.5194141e+06,4.1618292e+03,1.2150610e+03,3.8325694e+00
2.137248e+01,11,4.2560755e+05,4.5196210e+06,3.9519506e+03,1.3523596e+03,3.1718637e+00
2.137521e+01,11,4.2526564e+05,4.5194675e+06,3.8777015e+03,1.9648812e+03,2.2252490e+00
2.137799e+01,9,4.2521752e+05,4.5195105e+06,3.7256776e+03,1.9888960e+03,2.0904679e+00
2.139209e+01,10,4.2547673e+05,4.5195389e+06,3.8327932e+03,1.4044735e+03,2.8261501e+00
2.139393e+01,11,4.2549973e+05,4.5195316e+06,4.1684727e+03,1.5034990e+03,3.1087357e+00
2.139603e+01,11,4.2574690e+05,4.5195462e+06,3.8464750e+03,1.1920349e+03,3.5013867e+00
2.139783e+01,9,4.2526871e+05,4.5195935e+06,3.8925860e+03,1.7833826e+03,2.4300304e+00
2.139800e+01,11,4.2529444e+05,4.5194530e+06,3.9087034e+03,1.9153990e+03,2.2436321e+00
2.139805e+01,11,4.2515066e+05,4.5195755e+06,3.9359813e+03,2.0252897e+03,2.1593311e+00
2.140177e+01,10,4.2544901e+05,4.5194730e+06,4.1437010e+03,1.4232570e+03,3.2410347e+00
2.140310e+01,10,4.2530842e+05,4.5194939e+06,3.9481517e+03,1.9205125e+03,2.2208464e+00
2.140573e+01,10,4.2513992e+05,4.5195123e+06,3.9937009e+03,2.0801292e+03,2.1717905e+00
2.140857e+01,10,4.2540365e+05,4.5195471e+06,3.8365264e+03,1.4444539e+03,2.8913202e+00
2.141123e+01,11,4.2520557e+05,4.5195419e+06,4.0324474e+03,2.0868567e+03,2.1908619e+00
2.141191e+01,10,4.2530773e+05,4.5195849e+06,3.8086531e+03,2.0207053e+03,2.0574367e+00
2.141428e+01,11,4.2557303e+05,4.5194646e+06,3.7625353e+03,1.3246900e+03,3.0864045e+00
2.141938e+01,10,4.2507167e+05,4.5195539e+06,3.7272683e+03,2.2977932e+03,1.7367908e+00
2.142248e+01,11,4.2506737e+05,4.5195010e+06,3.8056892e+03,2.3319251e+03,1.8318610e+00
2.142425e+01,11,4.2497166e+05,4.5195722e+06,3.7471159e+03,2.5635666e+03,1.6429045e+00
2.142640e+01,10,4.2555166e+05,4.5194887e+06,4.0718843e+03,1.5212202e+03,2.9392843e+00
2.142672e+01,10,4.2556721e+05,4.5194366e+06,4.1417304e+03,1.4057540e+03,3.3370133e+00
2.142959e+01,9,4.2529124e+05,4.5196181e+06,3.6629436e+03,1.8263520e+03,2.1850447e+00
2.143173e+01,9,4.2524022e+05,4.5195056e+06,3.7800607e+03,1.8418243e+03,2.1837224e+00
2.143475e+01,11,4.2540036e+05,4.5195032e+06,4.0922588e+03,1.5171991e+03,3.0580080e+00
