xcen,ycen,depth,radius,dP_mu
4.2648606e+05,4.5188226e+06,2.8198427e+03,7.7890010e+02,3.8318098e-03
4.2621070e+05,4.5183981e+06,5.2175803e+03,1.5365772e+03,1.1581107e-03
4.2648518e+05,4.5188529e+06,2.7614608e+03,7.5790957e+02,3.9337839e-03
4.2662564e+05,4.5180112e+06,5.7744523e+03,2.2386099e+03,4.0941472e-04
4.2649321e+05,4.5188368e+06,2.8038909e+03,7.7448606e+02,3.8483143e-03
4.2634894e+05,4.5182024e+06,5.6095285e+03,1.8896560e+03,6.7417564e-04
4.2647165e+05,4.5188462e+06,2.7567215e+03,7.5551941e+02,3.9638865e-03
4.2641044e+05,4.5188567e+06,2.7140026e+03,7.3173500e+02,4.1491305e-03
4.2648796e+05,4.5188471e+06,2.7380032e+03,7.5427713e+02,3.9508319e-03
4.2648360e+05,4.5188456e+06,2.7505907e+03,7.5753702e+02,3.9465152e-03
4.2620916e+05,4.5183582e+06,5.3679977e+03,1.6266973e+03,9.8813855e-04
4.2648697e+05,4.5188340e+06,2.7641161e+03,7.6374120e+02,3.9048560e-03
4.2647258e+05,4.5188339e+06,2.7921807e+03,7.6644408e+02,3.9042894e-03
4.2616920e+05,4.5185768e+06,4.6339982e+03,1.1940638e+03,1.8375434e-03
4.2647480e+05,4.5188510e+06,2.7433416e+03,7.5182754e+02,3.9750449e-03
4.2649216e+05,4.5181007e+06,5.6982386e+03,2.0722371e+03,5.3336983e-04
4.2649280e+05,4.5188374e+06,2.7985476e+03,7.7304224e+02,3.8570142e-03
4.2629850e+05,4.5182382e+06,5.5782835e+03,1.8253482e+03,7.2376948e-04
4.2642389e+05,4.5188492e+06,2.7972052e+03,7.5694087e+02,4.0289349e-03
4.2639380e+05,4.5188572e+06,2.7073934e+03,7.2706026e+02,4.1917530e-03
4.2648726e+05,4.5188465e+06,2.7421480e+03,7.5557044e+02,3.9478383e-03
4.2648360e+05,4.5188456e+06,2.7505907e+03,7.5753702e+02,3.9465152e-03
4.2620916e+05,4.5183582e+06,5.3679977e+03,1.6266973e+03,9.8813855e-04
4.2648448e+05,4.5188343e+06,2.7653967e+03,7.6338586e+02,3.9082185e-03
4.2643348e+05,4.5188454e+06,2.7541459e+03,7.4768913e+02,4.0425479e-03
4.2635114e+05,4.5187373e+06,3.4929470e+03,9.2758766e+02,3.1319793e-03
4.2646936e+05,4.5188585e+06,2.7340443e+03,7.4649575e+02,4.0064569e-03
4.2649216e+05,4.5181007e+06,5.6982386e+03,2.0722371e+03,5.3336983e-04
4.2648182e+05,4.5188448e+06,2.7522458e+03,7.5538976e+02,3.9432387e-03
4.2623974e+05,4.5182805e+06,5.5401296e+03,1.7494739e+03,7.8354308e-04
4.2642148e+05,4.5188605e+06,2.7380363e+03,7.4079802e+02,4.1282678e-03
4.2642620e+05,4.5188485e+06,2.7299387e+03,7.4056982e+02,4.0877372e-03
4.2648572e+05,4.5188472e+06,2.7411721e+03,7.5473826e+02,3.9527669e-03
4.2645205e+05,4.5188574e+06,2.7332231e+03,7.4462402e+02,4.0503865e-03
4.2621260e+05,4.5186249e+06,4.3360441e+03,1.1718060e+03,2.2159665e-03
4.2648212e+05,4.5188346e+06,2.7620491e+03,7.6209525e+02,3.9181450e-03
4.2636479e+05,4.5188432e+06,2.7084768e+03,7.2379506e+02,4.2349975e-03
4.2641630e+05,4.5187909e+06,3.1236104e+03,8.4172443e+02,3.5364984e-03
4.2644848e+05,4.5188551e+06,2.7566833e+03,7.4965258e+02,4.0268820e-03
4.2649748e+05,4.5180959e+06,5.7044496e+03,2.0806166e+03,5.2481676e-04
