xcen,ycen,depth,dVol
4.2626462e+05,4.5186852e+06,2.9053137e+03,6.0033641e+06
4.2628306e+05,4.5186813e+06,2.9157735e+03,6.0170466e+06
4.2626823e+05,4.5186819e+06,2.9070287e+03,6.0001830e+06
4.2626981e+05,4.5186842e+06,2.9063570e+03,5.9947794e+06
4.2627040e+05,4.5186960e+06,2.9253826e+03,6.0216134e+06
4.2628087e+05,4.5186880e+06,2.9147602e+03,6.0217055e+06
4.2626967e+05,4.5186718e+06,2.8936531e+03,5.9888660e+06
4.2627895e+05,4.5186645e+06,2.9025133e+03,5.9823438e+06
4.2626283e+05,4.5186887e+06,2.8971304e+03,6.0013048e+06
4.2626955e+05,4.5186916e+06,2.9120905e+03,6.0136532e+06
4.2626503e+05,4.5186847e+06,2.9018366e+03,6.0007076e+06
4.2628821e+05,4.5186782e+06,2.9215861e+03,6.0185985e+06
4.2627389e+05,4.5186806e+06,2.9153323e+03,6.0031006e+06
4.2626057e+05,4.5186718e+06,2.8711099e+03,5.9269224e+06
4.2624499e+05,4.5187119e+06,2.9104127e+03,6.0084617e+06
4.2626464e+05,4.5186905e+06,2.9003134e+03,5.9914374e+06
4.2626604e+05,4.5186858e+06,2.9036958e+03,6.0007942e+06
4.2627842e+05,4.5186692e+06,2.9065376e+03,5.9852513e+06
4.2626867e+05,4.5186987e+06,2.9091388e+03,6.0193090e+06
4.2625484e+05,4.5187263e+06,2.9358670e+03,6.0261662e+06
4.2625548e+05,4.5186961e+06,2.8991061e+03,6.0039992e+06
4.2627270e+05,4.5186972e+06,2.9241528e+03,6.0207431e+06
4.2626178e+05,4.5186850e+06,2.8929593e+03,5.9680821e+06
4.2625699e+05,4.5186536e+06,2.8324263e+03,5.8456473e+06
4.2626245e+05,4.5186920e+06,2.9097035e+03,5.9939111e+06
4.2625832e+05,4.5186666e+06,2.8621661e+03,5.9065153e+06
4.2626323e+05,4.5186873e+06,2.8979442e+03,5.9842213e+06
4.2628341e+05,4.5186597e+06,2.9021501e+03,5.9735063e+06
4.2625991e+05,4.5187128e+06,2.9193328e+03,5.9932888e+06
4.2625953e+05,4.5187233e+06,2.9242384e+03,5.9853602e+06
4.2626388e+05,4.5186906e+06,2.9050908e+03,5.9929086e+06
4.2625777e+05,4.5186873e+06,2.8855655e+03,5.9342566e+06
4.2625958e+05,4.5186874e+06,2.8891454e+03,5.9457489e+06
4.2624459e+05,4.5186662e+06,2.8135445e+03,5.8002578e+06
4.2626017e+05,4.5186801e+06,2.8811580e+03,5.9219151e+06
4.2625841e+05,4.5186629e+06,2.8536412e+03,5.8802030e+06
4.2625352e+05,4.5187049e+06,2.8996430e+03,5.9803070e+06
4.2625788e+05,4.5186789e+06,2.8742906e+03,5.9297136e+06
4.2626008e+05,4.5186940e+06,2.8944205e+03,5.9427765e+06
4.2625570e+05,4.5187649e+06,2.9499427e+03,5.9776949e+06
4.2626111e+05,4.5186842e+06,2.8875170e+03,5.9418273e+06
4.2625515e+05,4.5186496e+06,2.8300161e+03,5.8178686e+06
4.2626471e+05,4.5187127e+06,2.9226932e+03,5.9691795e+06
