func,iter,xcen,ycen,depth,Pxx,Pyy,Pzz
2.030877e+01,13,4.2619389e+05,4.5187243e+06,3.7825751e+03,1.4839547e+07,2.0929797e+07,2.6687602e+07
2.031204e+01,11,4.2621896e+05,4.5184282e+06,3.9668769e+03,1.7128038e+07,2.0536041e+07,2.7916320e+07
2.033750e+01,13,4.2607209e+05,4.5186800e+06,4.0291162e+03,1.7605018e+07,1.7188579e+07,2.6428810e+07
2.034735e+01,13,4.2602564e+05,4.5185535e+06,4.0821942e+03,1.5272221e+07,1.6880012e+07,2.6643747e+07
2.036521e+01,11,4.2607767e+05,4.5185150e+06,3.7957692e+03,1.4630706e+07,2.2828327e+07,2.5281912e+07
2.038036e+01,12,4.2624934e+05,4.5184455e+06,3.6256104e+03,1.8549522e+07,2.2466338e+07,2.5954174e+07
2.044053e+01,12,4.2633098e+05,4.5187274e+06,3.8418520e+03,2.0048990e+07,2.4165844e+07,2.8326041e+07
2.044971e+01,11,4.2630827e+05,4.5187038e+06,3.8387723e+03,1.6411905e+07,1.8553929e+07,2.3224165e+07
2.046254e+01,12,4.2613445e+05,4.5183762e+06,3.7423367e+03,1.7645131e+07,2.1293622e+07,2.3984602e+07
2.047183e+01,13,4.2635339e+05,4.5186717e+06,4.1323810e+03,1.5685695e+07,1.7716440e+07,2.8711430e+07
2.051794e+01,13,4.2635327e+05,4.5186209e+06,3.9400083e+03,1.6762999e+07,2.0778993e+07,2.8424852e+07
2.051943e+01,13,4.2631410e+05,4.5184825e+06,3.9691033e+03,2.2284849e+07,2.2076432e+07,2.8009113e+07
2.052735e+01,10,4.2641259e+05,4.5186784e+06,4.0822016e+03,1.8716703e+07,2.1000880e+07,2.8434896e+07
2.053738e+01,12,4.2611834e+05,4.5186592e+06,3.9134530e+03,1.7842281e+07,1.9416862e+07,2.7788888e+07
2.054876e+01,12,4.2637880e+05,4.5185810e+06,3.3398602e+03,1.6218319e+07,1.6399831e+07,2.2651020e+07
2.057128e+01,13,4.2642697e+05,4.5186334e+06,3.4620942e+03,1.4345191e+07,2.2135307e+07,2.3065289e+07
2.058512e+01,13,4.2634556e+05,4.5185940e+06,4.2391797e+03,1.7507208e+07,1.9589761e+07,2.8024223e+07
2.060894e+01,13,4.2623517e+05,4.5187616e+06,4.0787535e+03,1.7802991e+07,2.0195769e+07,2.8598458e+07
2.063573e+01,13,4.2630558e+05,4.5187128e+06,3.7164149e+03,1.7565972e+07,2.0411816e+07,2.2817628e+07
2.063940e+01,13,4.2630881e+05,4.5186567e+06,4.2806615e+03,1.4381848e+07,2.0497905e+07,2.8126975e+07
2.066326e+01,13,4.2617504e+05,4.5187126e+06,4.2306961e+03,1.2154229e+07,1.8654692e+07,2.6625491e+07
2.066789e+01,13,4.2599045e+05,4.5187926e+06,3.4155212e+03,1.3697716e+07,1.3537219e+07,2.0163424e+07
2.067963e+01,13,4.2614160e+05,4.5185839e+06,4.3060071e+03,1.6989905e+07,2.1129998e+07,2.9716426e+07
2.068545e+01,13,4.2619850e+05,4.5187995e+06,3.4787327e+03,1.9411631e+07,1.7874032e+07,2.4392848e+07
2.069886e+01,13,4.2623933e+05,4.5183953e+06,3.7724480e+03,2.0107922e+07,2.4756830e+07,2.7044090e+07
2.070498e+01,13,4.2604816e+05,4.5186199e+06,3.7506408e+03,8.9341976e+06,1.1187616e+07,2.2256729e+07
2.072260e+01,13,4.2626113e+05,4.5185955e+06,4.3346198e+03,1.1262636e+07,1.3125054e+07,2.5693423e+07
2.076431e+01,13,4.2603980e+05,4.5187699e+06,3.7103136e+03,1.8382288e+07,2.2719857e+07,2.4999052e+07
2.078450e+01,12,4.2652167e+05,4.5187168e+06,3.7713056e+03,1.4256339e+07,1.8323448e+07,2.4609471e+07
2.078852e+01,13,4.2643212e+05,4.5187184e+06,3.7403772e+03,1.6917652e+07,2.4097224e+07,2.5427126e+07
2.079125e+01,13,4.2607578e+05,4.5184949e+06,3.7561308e+03,1.5770710e+07,2.3206397e+07,2.5755470e+07
2.079463e+01,13,4.2614983e+05,4.5183903e+06,3.9077252e+03,1.8297818e+07,1.8573055e+07,2.6258479e+07
2.080062e+01,13,4.2604107e+05,4.5187564e+06,3.8597149e+03,1.4804142e+07,1.9318647e+07,2.4066772e+07
2.080081e+01,13,4.2640349e+05,4.5186941e+06,4.0869103e+03,1.2260631e+07,1.8971641e+07,2.7369096e+07
2.080272e+01,13,4.2602588e+05,4.5187444e+06,3.9341267e+03,1.3665275e+07,1.5755488e+07,2.3825070e+07
2.084230e+01,13,4.2626570e+05,4.5184924e+06,3.8777215e+03,1.5355264e+07,1.8373200e+07,2.3197945e+07
2.084898e+01,13,4.2628852e+05,4.5186681e+06,4.1198050e+03,2.1007035e+07,2.0593951e+07,2.8910038e+07
2.088608e+01,13,4.2639612e+05,4.5185120e+06,3.9420820e+03,1.7990788e+07,1.5882271e+07,2.6129439e+07
2.088848e+01,13,4.2623398e+05,4.5186527e+06,4.1016817e+03,1.2202575e+07,2.2450683e+07,2.7345993e+07
2.088941e+01,11,4.2622087e+05,4.5186737e+06,3.7895242e+03,2.1272103e+07,2.2160502e+07,2.4807438e+07
2.089329e+01,13,4.2614273e+05,4.5184656e+06,3.9794724e+03,1.5016156e+07,2.0622897e+07,2.4670127e+07
2.091592e+01,12,4.2644474e+05,4.5185048e+06,4.0808002e+03,1.4759428e+07,1.8379578e+07,2.6139358e+07
2.091597e+01,13,4.2639098e+05,4.5189099e+06,3.6422212e+03,1.3350729e+07,1.7170472e+07,2.3021908e+07
2.092330e+01,12,4.2631961e+05,4.5184897e+06,4.1338638e+03,1.9547605e+07,1.9467690e+07,2.9085042e+07
2.092527e+01,13,4.2635714e+05,4.5185396e+06,3.6949778e+03,1.6840831e+07,2.2503309e+07,2.6554715e+07
2.093302e+01,13,4.2627700e+05,4.5185106e+06,3.8305366e+03,1.4632638e+07,2.3163406e+07,2.4386546e+07
2.093961e+01,13,4.2645866e+05,4.5185035e+06,3.9160242e+03,1.5128839e+07,2.1038132e+07,2.6140784e+07
2.095382e+01,13,4.2618679e+05,4.5187519e+06,3.8427557e+03,1.4962318e+07,1.9064144e+07,2.6993928e+07
2.096452e+01,12,4.2645915e+05,4.5185959e+06,3.8809832e+03,1.1515922e+07,1.7347003e+07,2.5180862e+07
2.099396e+01,13,4.2622372e+05,4.5186885e+06,4.0895839e+03,1.9281381e+07,2.4978939e+07,2.9306199e+07
2.100973e+01,13,4.2623095e+05,4.5187404e+06,4.1930937e+03,1.7243891e+07,1.9560304e+07,2.9025249e+07
2.101392e+01,12,4.2640420e+05,4.5186459e+06,4.1376722e+03,1.5277101e+07,2.1805514e+07,2.8706064e+07
2.103745e+01,13,4.2606696e+05,4.5185527e+06,3.6681773e+03,1.5603590e+07,2.3620104e+07,2.5035501e+07
2.103781e+01,13,4.2628424e+05,4.5186979e+06,3.9442204e+03,1.6120351e+07,2.0615529e+07,2.8447269e+07
2.105246e+01,9,4.2628188e+05,4.5185664e+06,4.2670256e+03,1.8064400e+07,2.1774345e+07,3.0706749e+07
2.106516e+01,12,4.2644952e+05,4.5186351e+06,3.9378589e+03,1.9321961e+07,2.2044743e+07,2.8418600e+07
2.112220e+01,13,4.2624549e+05,4.5187368e+06,4.1264136e+03,1.8300986e+07,2.0824621e+07,2.7427303e+07
2.113652e+01,11,4.2632297e+05,4.5184017e+06,3.9773273e+03,1.4219405e+07,2.1186580e+07,2.5548131e+07
2.118064e+01,12,4.2618271e+05,4.5184143e+06,4.2372674e+03,1.3860942e+07,1.8587699e+07,2.8818614e+07
2.121300e+01,13,4.2633911e+05,4.5185835e+06,3.9142943e+03,1.5149389e+07,2.1379510e+07,2.8007252e+07
2.121927e+01,13,4.2637837e+05,4.5183877e+06,3.6089659e+03,1.9321159e+07,2.0399492e+07,2.4754107e+07
2.122298e+01,12,4.2642380e+05,4.5186541e+06,3.7800045e+03,1.5621404e+07,2.2351565e+07,2.6811827e+07
2.123852e+01,13,4.2607363e+05,4.5185227e+06,4.1494807e+03,1.9023741e+07,2.2878334e+07,2.9032663e+07
2.125257e+01,13,4.2605929e+05,4.5187345e+06,4.0799125e+03,1.5835964e+07,1.8108421e+07,2.7263238e+07
2.126257e+01,13,4.2634500e+05,4.5187943e+06,4.0088782e+03,1.5329814e+07,2.1649487e+07,2.7230293e+07
2.127062e+01,13,4.2623190e+05,4.5183875e+06,3.7088003e+03,1.8157984e+07,2.4938637e+07,2.5801957e+07
2.128358e+01,13,4.2625298e+05,4.5186397e+06,4.0632253e+03,1.9707958e+07,1.8627456e+07,2.9061345e+07
2.134171e+01,13,4.2608543e+05,4.5185449e+06,4.3487500e+03,1.3228005e+07,1.8465926e+07,2.7630325e+07
2.138397e+01,12,4.2605790e+05,4.5186296e+06,3.5218563e+03,1.6134689e+07,2.2745509e+07,2.1941604e+07
2.140277e+01,13,4.2645120e+05,4.5185604e+06,3.9445355e+03,1.7760488e+07,1.6631277e+07,2.5079085e+07
2.140544e+01,11,4.2620586e+05,4.5185031e+06,4.2506477e+03,1.4811113e+07,2.1938687e+07,3.0074628e+07
2.140807e+01,13,4.2629811e+05,4.5187481e+06,3.7842322e+03,1.9265697e+07,2.1917988e+07,2.7952337e+07
2.142209e+01,12,4.2620031e+05,4.5187258e+06,4.0114220e+03,2.1141219e+07,1.9280498e+07,2.7545129e+07
2.143214e+01,13,4.2632508e+05,4.5187140e+06,3.8087260e+03,1.7433010e+07,2.5935960e+07,2.6376666e+07
2.144734e+01,11,4.2629613e+05,4.5183881e+06,3.8154726e+03,1.5746863e+07,2.3204174e+07,2.5072697e+07
2.148218e+01,13,4.2647120e+05,4.5185122e+06,3.9772074e+03,1.4296553e+07,2.0093775e+07,2.5931988e+07
2.150662e+01,12,4.2638857e+05,4.5187442e+06,3.9774141e+03,1.8919454e+07,2.0262116e+07,2.8465065e+07
