depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
3.8949853e+03,1.9941146e+07,2.3599629e+07,2.5198950e+07,-7.9785033e+06,-1.9728591e+06,2.4278160e+06
3.9540016e+03,1.9604076e+07,2.4324600e+07,2.5174428e+07,-8.4441319e+06,-1.6826749e+06,1.9936105e+06
3.9405150e+03,1.9668428e+07,2.3239738e+07,2.4394281e+07,-8.5681936e+06,-1.5090366e+06,1.6466360e+06
3.9213216e+03,2.0468255e+07,2.5097072e+07,2.5972290e+07,-7.9568237e+06,-2.1129189e+06,2.3837536e+06
3.8995917e+03,1.9614101e+07,2.3570252e+07,2.5000122e+07,-8.1555040e+06,-1.8701321e+06,2.3499391e+06
3.9170290e+03,2.0633603e+07,2.4721398e+07,2.5611343e+07,-8.0446750e+06,-2.0605455e+06,2.0952787e+06
3.9531029e+03,1.9672198e+07,2.4585961e+07,2.5677457e+07,-8.2378508e+06,-1.8475090e+06,2.4067488e+06
3.8916900e+03,1.9872444e+07,2.3269254e+07,2.5169930e+07,-7.8922082e+06,-1.9458637e+06,2.5739883e+06
3.9362655e+03,1.9863890e+07,2.3945124e+07,2.4772410e+07,-8.4473706e+06,-1.6359713e+06,1.7121412e+06
3.9205429e+03,1.8243228e+07,2.1909125e+07,2.3330377e+07,-8.8920721e+06,-1.1617145e+06,1.6437551e+06
3.9684790e+03,1.9030377e+07,2.3286387e+07,2.4714155e+07,-8.6537308e+06,-1.5101207e+06,2.0301735e+06
3.9280977e+03,2.0113344e+07,2.4133263e+07,2.5202064e+07,-8.2276070e+06,-1.8411111e+06,2.0334668e+06
3.9282420e+03,2.0134553e+07,2.4094217e+07,2.5227138e+07,-8.2281860e+06,-1.8704547e+06,2.0624462e+06
4.0101417e+03,1.8047243e+07,2.2022725e+07,2.4224197e+07,-8.9863270e+06,-1.1797736e+06,2.1419054e+06
3.9272893e+03,1.9674129e+07,2.3920979e+07,2.5048239e+07,-8.3225779e+06,-1.8001006e+06,2.0876495e+06
3.9602530e+03,1.9286880e+07,2.4147074e+07,2.4979018e+07,-8.5694532e+06,-1.5753970e+06,1.9409917e+06
3.9347911e+03,1.9709996e+07,2.3264761e+07,2.4458284e+07,-8.5148109e+06,-1.5644484e+06,1.7078143e+06
3.9329538e+03,1.9850255e+07,2.4644291e+07,2.5332270e+07,-8.2611681e+06,-1.7927332e+06,2.0509969e+06
3.9123147e+03,1.9179208e+07,2.3556781e+07,2.4518406e+07,-8.4606230e+06,-1.5964088e+06,1.9605891e+06
3.9375603e+03,2.0049449e+07,2.3965342e+07,2.4915258e+07,-8.4051991e+06,-1.7220954e+06,1.7786539e+06
3.9430332e+03,1.9844303e+07,2.4443694e+07,2.5583226e+07,-8.2022801e+06,-1.8828304e+06,2.3428123e+06
3.9017494e+03,1.9962674e+07,2.3113996e+07,2.4786786e+07,-8.1080099e+06,-1.8031795e+06,2.1590848e+06
3.9445017e+03,1.9150672e+07,2.4264781e+07,2.4622406e+07,-8.6006815e+06,-1.4253838e+06,1.6481451e+06
3.9082856e+03,1.8111013e+07,2.1778986e+07,2.3262141e+07,-8.8648113e+06,-1.1928842e+06,1.7168092e+06
3.9671667e+03,1.8639213e+07,2.3015825e+07,2.4335053e+07,-8.7543608e+06,-1.3185249e+06,1.8784979e+06
