xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
4.2621914e+05,4.5188887e+06,2.6763355e+03,2.0944449e+03,1.5543860e-03,6.2779587e+01,2.2743964e+01
4.2624825e+05,4.5188974e+06,2.6522758e+03,2.0790154e+03,1.5670492e-03,6.3486411e+01,2.3636650e+01
4.2627989e+05,4.5188779e+06,2.6660607e+03,2.0740001e+03,1.6000497e-03,6.5451912e+01,2.3284694e+01
4.2626194e+05,4.5188793e+06,2.6695810e+03,2.0861643e+03,1.5622820e-03,6.5370816e+01,2.3232858e+01
4.2624938e+05,4.5189023e+06,2.6554079e+03,2.0882317e+03,1.5390309e-03,6.5383504e+01,2.3356872e+01
4.2626156e+05,4.5188966e+06,2.6294476e+03,2.0757941e+03,1.5528711e-03,6.4191930e+01,2.3975061e+01
4.2625112e+05,4.5188828e+06,2.6512545e+03,2.0891309e+03,1.5395041e-03,6.6081886e+01,2.3408772e+01
4.2623519e+05,4.5189158e+06,2.6316026e+03,2.0885747e+03,1.5225476e-03,6.4969070e+01,2.3387479e+01
4.2625858e+05,4.5189029e+06,2.6682997e+03,2.0834084e+03,1.5641602e-03,6.4908319e+01,2.3342001e+01
4.2622192e+05,4.5188985e+06,2.6591853e+03,2.0942328e+03,1.5382809e-03,6.4686249e+01,2.2989777e+01
4.2625404e+05,4.5188880e+06,2.6435738e+03,2.0845795e+03,1.5449604e-03,6.5424962e+01,2.3588606e+01
4.2624152e+05,4.5188732e+06,2.6628338e+03,2.0929430e+03,1.5502663e-03,6.5812723e+01,2.2891872e+01
4.2624262e+05,4.5188831e+06,2.6653153e+03,2.0839409e+03,1.5729504e-03,6.3311852e+01,2.3226806e+01
4.2622422e+05,4.5188908e+06,2.6708568e+03,2.0909268e+03,1.5570868e-03,6.1936647e+01,2.2835819e+01
4.2626068e+05,4.5189280e+06,2.6844119e+03,2.0738583e+03,1.6039267e-03,6.0811734e+01,2.2833132e+01
4.2623142e+05,4.5188796e+06,2.7083178e+03,2.0913865e+03,1.5922523e-03,6.1955357e+01,2.2342233e+01
4.2616461e+05,4.5188828e+06,2.7277867e+03,2.1150048e+03,1.5595265e-03,5.8450073e+01,2.1004777e+01
4.2622445e+05,4.5189009e+06,2.6649868e+03,2.0918291e+03,1.5446674e-03,6.2724912e+01,2.2940427e+01
4.2625714e+05,4.5188905e+06,2.6720452e+03,2.0797211e+03,1.5864856e-03,6.3389923e+01,2.3082670e+01
4.2624100e+05,4.5188720e+06,2.6962541e+03,2.0960804e+03,1.5630564e-03,6.4044382e+01,2.2531406e+01
