xtlc,ytlc,dtlc,length,opening
4.2498250e+05,4.5195221e+06,3.5954069e+03,2.4142073e+03,1.4874746e+00
4.2497057e+05,4.5195296e+06,3.6129881e+03,2.4207473e+03,1.4777991e+00
4.2498692e+05,4.5195128e+06,3.5989518e+03,2.3957561e+03,1.4929784e+00
4.2495615e+05,4.5194939e+06,3.6007306e+03,2.4527244e+03,1.4703664e+00
4.2495373e+05,4.5195171e+06,3.5826003e+03,2.4386037e+03,1.4658702e+00
4.2492398e+05,4.5195364e+06,3.6009615e+03,2.5032343e+03,1.4330557e+00
4.2496010e+05,4.5195231e+06,3.6022286e+03,2.4444607e+03,1.4664622e+00
4.2495029e+05,4.5195127e+06,3.6322436e+03,2.4786519e+03,1.4562482e+00
4.2496347e+05,4.5195193e+06,3.6316773e+03,2.4511822e+03,1.4690909e+00
4.2498911e+05,4.5195090e+06,3.6354249e+03,2.4328201e+03,1.4831116e+00
4.2499005e+05,4.5195141e+06,3.5845946e+03,2.4001268e+03,1.5012569e+00
4.2498927e+05,4.5195194e+06,3.6256191e+03,2.4011739e+03,1.4924307e+00
4.2500645e+05,4.5195018e+06,3.6097491e+03,2.3756915e+03,1.5063637e+00
4.2492992e+05,4.5194865e+06,3.6071495e+03,2.5048057e+03,1.4507967e+00
4.2495917e+05,4.5195139e+06,3.5890161e+03,2.4381706e+03,1.4694247e+00
4.2495109e+05,4.5195258e+06,3.6004436e+03,2.4637740e+03,1.4600883e+00
4.2495764e+05,4.5195566e+06,3.5874700e+03,2.4456631e+03,1.4543281e+00
4.2496960e+05,4.5195165e+06,3.6248099e+03,2.4452502e+03,1.4753041e+00
4.2497998e+05,4.5195214e+06,3.6310419e+03,2.4303520e+03,1.4786723e+00
4.2498947e+05,4.5195148e+06,3.5931630e+03,2.4098137e+03,1.4956737e+00
4.2498672e+05,4.5195170e+06,3.5973858e+03,2.4114720e+03,1.4953663e+00
4.2503968e+05,4.5195269e+06,3.6166041e+03,2.2879645e+03,1.5413745e+00
4.2503123e+05,4.5195235e+06,3.5977058e+03,2.3420339e+03,1.5257021e+00
4.2496163e+05,4.5195111e+06,3.6207411e+03,2.4558021e+03,1.4691399e+00
4.2498771e+05,4.5195197e+06,3.5948512e+03,2.4066668e+03,1.4916729e+00
4.2502049e+05,4.5195512e+06,3.5916539e+03,2.3648095e+03,1.5090316e+00
4.2496481e+05,4.5195447e+06,3.5966603e+03,2.4488239e+03,1.4632219e+00
4.2498567e+05,4.5195173e+06,3.6372916e+03,2.4167735e+03,1.4886290e+00
4.2500031e+05,4.5195341e+06,3.6322325e+03,2.3795094e+03,1.4947157e+00
4.2503987e+05,4.5195432e+06,3.6123675e+03,2.3427363e+03,1.5290891e+00
4.2500570e+05,4.5195195e+06,3.5892752e+03,2.3624539e+03,1.5154661e+00
