xcen,ycen,depth,Pxx,Pyy,Pzz
4.2629641e+05,4.5182394e+06,5.0369047e+03,1.0650725e+06,1.2918956e+07,2.7702279e+07
4.2632047e+05,4.5182657e+06,4.9825420e+03,1.1119647e+06,1.4115571e+07,2.7650710e+07
4.2629161e+05,4.5182491e+06,5.0333902e+03,1.1076372e+06,1.3406639e+07,2.7574877e+07
4.2629384e+05,4.5182511e+06,4.9980869e+03,1.1525742e+06,1.4618219e+07,2.7847409e+07
4.2629354e+05,4.5182508e+06,5.0200292e+03,1.0615460e+06,1.3597859e+07,2.7711380e+07
4.2628949e+05,4.5182462e+06,5.0159586e+03,1.1346990e+06,1.3504849e+07,2.7896539e+07
4.2629120e+05,4.5182443e+06,5.0339335e+03,1.0526940e+06,1.3228627e+07,2.7664067e+07
4.2630969e+05,4.5182259e+06,5.0134706e+03,1.0571958e+06,1.3070896e+07,2.7846891e+07
4.2627820e+05,4.5182935e+06,4.9880214e+03,1.2339030e+06,1.4353329e+07,2.7822697e+07
4.2630077e+05,4.5182672e+06,5.0257396e+03,1.0838959e+06,1.3153329e+07,2.7538227e+07
4.2628027e+05,4.5182419e+06,5.0066185e+03,1.0785107e+06,1.4101743e+07,2.7929945e+07
4.2625903e+05,4.5182348e+06,5.0180706e+03,1.0332464e+06,1.3752521e+07,2.7989863e+07
