xcen,ycen,depth,dP_mu
4.2619041e+05,4.5185741e+06,3.8318690e+03,3.3943660e-03
4.2619008e+05,4.5185895e+06,3.8084293e+03,3.3634009e-03
4.2619930e+05,4.5185723e+06,3.8151719e+03,3.3490881e-03
4.2617467e+05,4.5185910e+06,3.8085404e+03,3.3598727e-03
4.2618452e+05,4.5185904e+06,3.7834304e+03,3.3222320e-03
4.2619640e+05,4.5186001e+06,3.7952779e+03,3.3155077e-03
4.2616005e+05,4.5185931e+06,3.8105221e+03,3.3445690e-03
4.2620303e+05,4.5185775e+06,3.8056609e+03,3.3461273e-03
4.2617641e+05,4.5185799e+06,3.8262028e+03,3.3753885e-03
4.2617915e+05,4.5185920e+06,3.8113259e+03,3.3609807e-03
4.2619653e+05,4.5185929e+06,3.8077183e+03,3.3323720e-03
4.2617813e+05,4.5186003e+06,3.8173911e+03,3.3525641e-03
4.2618849e+05,4.5185826e+06,3.8189386e+03,3.3659256e-03
4.2619353e+05,4.5186189e+06,3.8001875e+03,3.3085628e-03
4.2617287e+05,4.5185743e+06,3.8090827e+03,3.3551294e-03
4.2618469e+05,4.5185769e+06,3.8351469e+03,3.3968381e-03
4.2617661e+05,4.5185820e+06,3.8318173e+03,3.3810286e-03
4.2618818e+05,4.5186013e+06,3.7829415e+03,3.3236776e-03
4.2618707e+05,4.5185965e+06,3.8058910e+03,3.3331087e-03
4.2616801e+05,4.5186010e+06,3.8272090e+03,3.3643032e-03
4.2619693e+05,4.5185815e+06,3.8109818e+03,3.3624281e-03
4.2618412e+05,4.5186041e+06,3.8210082e+03,3.3555105e-03
4.2616361e+05,4.5185825e+06,3.8123305e+03,3.3596513e-03
4.2618023e+05,4.5185727e+06,3.8375798e+03,3.4106025e-03
4.2616578e+05,4.5185796e+06,3.8275707e+03,3.3785117e-03
4.2618069e+05,4.5185995e+06,3.7875211e+03,3.3184707e-03
4.2618930e+05,4.5185870e+06,3.7884412e+03,3.3098519e-03
4.2617790e+05,4.5185899e+06,3.8381735e+03,3.3925069e-03
4.2620559e+05,4.5185901e+06,3.8119796e+03,3.3619210e-03
4.2617728e+05,4.5186020e+06,3.8041283e+03,3.3313317e-03
4.2617266e+05,4.5185906e+06,3.7802621e+03,3.3255227e-03
4.2619041e+05,4.5185733e+06,3.8323057e+03,3.4066249e-03
4.2616018e+05,4.5185769e+06,3.8301569e+03,3.3827401e-03
4.2619389e+05,4.5185947e+06,3.7863133e+03,3.3249865e-03
4.2618831e+05,4.5185937e+06,3.7876216e+03,3.3025080e-03
4.2618903e+05,4.5185930e+06,3.8284851e+03,3.3795785e-03
4.2619633e+05,4.5185863e+06,3.8120553e+03,3.3661877e-03
4.2617059e+05,4.5185879e+06,3.8071501e+03,3.3398629e-03
4.2618988e+05,4.5185930e+06,3.7907700e+03,3.3295294e-03
4.2619171e+05,4.5185824e+06,3.8124972e+03,3.3704643e-03
4.2616395e+05,4.5185785e+06,3.8124855e+03,3.3484345e-03
4.2617871e+05,4.5185816e+06,3.8177678e+03,3.3691311e-03
4.2617982e+05,4.5185892e+06,3.7916926e+03,3.3127341e-03
4.2619462e+05,4.5185962e+06,3.8255678e+03,3.3757957e-03
4.2618928e+05,4.5185813e+06,3.8290064e+03,3.3868689e-03
4.2617264e+05,4.5185907e+06,3.8068449e+03,3.3418357e-03
4.2619344e+05,4.5185815e+06,3.7693984e+03,3.3102020e-03
4.2619200e+05,4.5185820e+06,3.8164849e+03,3.3814805e-03
4.2616273e+05,4.5185754e+06,3.8212361e+03,3.3671540e-03
4.2618104e+05,4.5185913e+06,3.8036012e+03,3.3375177e-03
4.2618843e+05,4.5186002e+06,3.7581471e+03,3.2624407e-03
4.2618760e+05,4.5185900e+06,3.8017947e+03,3.3402931e-03
4.2618096e+05,4.5185741e+06,3.8613753e+03,3.3805305e-03
4.2617750e+05,4.5185932e+06,3.8058016e+03,3.3446916e-03
4.2618427e+05,4.5185859e+06,3.7985770e+03,3.3370444e-03
4.2618849e+05,4.5185828e+06,3.8137312e+03,3.3698367e-03
4.2616389e+05,4.5185764e+06,3.8371785e+03,3.3639684e-03
4.2616941e+05,4.5186048e+06,3.8103399e+03,3.3451865e-03
4.2618374e+05,4.5185993e+06,3.7650079e+03,3.2867137e-03
4.2618886e+05,4.5186015e+06,3.7708743e+03,3.2940970e-03
4.2618135e+05,4.5185842e+06,3.8286973e+03,3.3655840e-03
4.2617755e+05,4.5185956e+06,3.7945756e+03,3.3335026e-03
4.2619340e+05,4.5185715e+06,3.8151528e+03,3.3726982e-03
4.2619149e+05,4.5185835e+06,3.8016794e+03,3.3634623e-03
4.2617218e+05,4.5185682e+06,3.8267434e+03,3.3540621e-03
4.2616734e+05,4.5185999e+06,3.8202666e+03,3.3483786e-03
4.2615860e+05,4.5185913e+06,3.8138008e+03,3.3401658e-03
4.2618837e+05,4.5185968e+06,3.7843210e+03,3.3173603e-03
4.2619105e+05,4.5185906e+06,3.8367099e+03,3.3876867e-03
4.2617754e+05,4.5185888e+06,3.8073101e+03,3.3493586e-03
4.2620358e+05,4.5185610e+06,3.8184707e+03,3.3844545e-03
