xcen,ycen,depth,dVol
4.2632898e+05,4.5188256e+06,2.6445714e+03,5.1060138e+06
4.2632593e+05,4.5188198e+06,2.6277566e+03,5.1014835e+06
4.2631578e+05,4.5188069e+06,2.6466672e+03,5.1312336e+06
4.2631737e+05,4.5188290e+06,2.6290671e+03,5.0720729e+06
4.2630322e+05,4.5188479e+06,2.6002635e+03,4.9836320e+06
4.2630999e+05,4.5188351e+06,2.6107300e+03,5.0386730e+06
4.2633912e+05,4.5188282e+06,2.6275449e+03,5.0900478e+06
4.2632770e+05,4.5188355e+06,2.6070073e+03,5.0137613e+06
4.2632616e+05,4.5188290e+06,2.6086084e+03,5.0421212e+06
4.2632193e+05,4.5188318e+06,2.5861876e+03,4.9708836e+06
4.2632427e+05,4.5188383e+06,2.6423043e+03,5.0951077e+06
4.2632612e+05,4.5188153e+06,2.6246952e+03,5.1054281e+06
4.2631616e+05,4.5188123e+06,2.6408839e+03,5.1101211e+06
4.2631792e+05,4.5188285e+06,2.6304258e+03,5.0751365e+06
4.2630915e+05,4.5188408e+06,2.5868722e+03,4.9821409e+06
4.2630770e+05,4.5188353e+06,2.6104573e+03,5.0347239e+06
4.2632652e+05,4.5188361e+06,2.6119728e+03,5.0499180e+06
4.2632462e+05,4.5188273e+06,2.6113202e+03,5.0131743e+06
4.2633133e+05,4.5188292e+06,2.6198408e+03,5.0795005e+06
4.2632363e+05,4.5188234e+06,2.5935143e+03,4.9854189e+06
4.2632382e+05,4.5188356e+06,2.6319591e+03,5.0916928e+06
4.2632933e+05,4.5188366e+06,2.6012284e+03,5.0234179e+06
4.2631977e+05,4.5188112e+06,2.6585778e+03,5.1686743e+06
4.2631448e+05,4.5188206e+06,2.6168844e+03,5.0504856e+06
4.2631179e+05,4.5188320e+06,2.6046917e+03,5.0240798e+06
4.2630651e+05,4.5188352e+06,2.6151626e+03,5.0518135e+06
4.2634268e+05,4.5188420e+06,2.6109122e+03,5.0580490e+06
4.2634693e+05,4.5188438e+06,2.6054954e+03,5.0045428e+06
4.2631318e+05,4.5188207e+06,2.6564831e+03,5.1610628e+06
4.2631923e+05,4.5188142e+06,2.6113939e+03,5.0211288e+06
4.2631455e+05,4.5188319e+06,2.6112732e+03,5.0088635e+06
4.2633136e+05,4.5188460e+06,2.6121496e+03,5.0840528e+06
4.2632123e+05,4.5188092e+06,2.6616707e+03,5.1806734e+06
4.2632414e+05,4.5188150e+06,2.6318009e+03,5.0887177e+06
4.2633296e+05,4.5188334e+06,2.6007122e+03,5.0251991e+06
4.2631912e+05,4.5188383e+06,2.6078957e+03,5.0312191e+06
4.2633590e+05,4.5188359e+06,2.6250919e+03,5.0937908e+06
4.2633054e+05,4.5188319e+06,2.6116799e+03,5.0386084e+06
4.2631349e+05,4.5188295e+06,2.6182409e+03,5.0884494e+06
4.2632735e+05,4.5188087e+06,2.6206282e+03,5.0939731e+06
4.2632424e+05,4.5188309e+06,2.6141364e+03,5.0162090e+06
4.2633535e+05,4.5188346e+06,2.6088899e+03,5.0582056e+06
4.2631909e+05,4.5188162e+06,2.6474655e+03,5.1328253e+06
4.2632487e+05,4.5188219e+06,2.6232908e+03,5.0709936e+06
4.2633599e+05,4.5188349e+06,2.5915961e+03,5.0303131e+06
4.2631517e+05,4.5188304e+06,2.6143055e+03,5.0317917e+06
4.2633061e+05,4.5188293e+06,2.6177290e+03,5.0601126e+06
4.2632134e+05,4.5188225e+06,2.6334920e+03,5.0796958e+06
4.2632280e+05,4.5188255e+06,2.6280575e+03,5.0871336e+06
4.2631983e+05,4.5188165e+06,2.6226981e+03,5.0858627e+06
4.2633459e+05,4.5188303e+06,2.6129474e+03,5.0434991e+06
4.2633532e+05,4.5188303e+06,2.6237777e+03,5.0955996e+06
4.2631745e+05,4.5188171e+06,2.6408900e+03,5.1327130e+06
4.2631816e+05,4.5188090e+06,2.6405350e+03,5.1149650e+06
4.2632603e+05,4.5188273e+06,2.6108941e+03,5.0601328e+06
4.2631430e+05,4.5188386e+06,2.6183610e+03,5.0269747e+06
4.2633324e+05,4.5188432e+06,2.6147403e+03,5.0173408e+06
4.2633471e+05,4.5188163e+06,2.6228059e+03,5.0877554e+06
4.2631493e+05,4.5188248e+06,2.6482447e+03,5.1301857e+06
4.2632743e+05,4.5188117e+06,2.6106348e+03,5.0173166e+06
4.2632966e+05,4.5188248e+06,2.6200839e+03,5.0562163e+06
4.2633572e+05,4.5188260e+06,2.6166555e+03,5.0723765e+06
4.2630754e+05,4.5188221e+06,2.6328935e+03,5.1462332e+06
4.2632042e+05,4.5188110e+06,2.6398536e+03,5.0938516e+06
4.2632113e+05,4.5188413e+06,2.5867876e+03,5.0365115e+06
4.2631652e+05,4.5188252e+06,2.6140744e+03,4.9772112e+06
4.2633290e+05,4.5188385e+06,2.6176992e+03,5.0219153e+06
4.2633663e+05,4.5188141e+06,2.6227880e+03,5.0950921e+06
4.2630424e+05,4.5188363e+06,2.6506534e+03,5.1278715e+06
4.2631772e+05,4.5188244e+06,2.5998930e+03,4.9904242e+06
4.2631464e+05,4.5188206e+06,2.6188235e+03,5.0461581e+06
4.2633541e+05,4.5188250e+06,2.6184372e+03,5.0620433e+06
4.2630499e+05,4.5188206e+06,2.6373350e+03,5.1716746e+06
4.2632142e+05,4.5188160e+06,2.6294803e+03,5.0856135e+06
4.2632889e+05,4.5188467e+06,2.6053589e+03,5.0405774e+06
4.2632179e+05,4.5188233e+06,2.6198003e+03,5.0546931e+06
4.2632387e+05,4.5188344e+06,2.6249213e+03,5.0557124e+06
4.2632609e+05,4.5188149e+06,2.6221026e+03,5.0769045e+06
4.2633371e+05,4.5188334e+06,2.6389432e+03,5.1168269e+06
4.2632742e+05,4.5188307e+06,2.5948414e+03,4.9922939e+06
4.2630286e+05,4.5188291e+06,2.6161433e+03,5.0447869e+06
4.2634329e+05,4.5188236e+06,2.6115763e+03,5.0367739e+06
4.2630875e+05,4.5188162e+06,2.6398656e+03,5.1257550e+06
4.2631522e+05,4.5188179e+06,2.6365513e+03,5.1088663e+06
4.2632733e+05,4.5188430e+06,2.6003896e+03,5.0211323e+06
4.2631449e+05,4.5188202e+06,2.6187922e+03,5.0630620e+06
4.2631190e+05,4.5188444e+06,2.6255113e+03,5.0435590e+06
4.2632981e+05,4.5188079e+06,2.6338668e+03,5.1119607e+06
4.2633499e+05,4.5188466e+06,2.6285258e+03,5.0873414e+06
4.2632580e+05,4.5188227e+06,2.5910292e+03,4.9949401e+06
4.2631106e+05,4.5188452e+06,2.6017903e+03,4.9835492e+06
4.2634684e+05,4.5188319e+06,2.6047299e+03,5.0062852e+06
4.2631382e+05,4.5188195e+06,2.6306133e+03,5.0974771e+06
4.2632232e+05,4.5188181e+06,2.6447444e+03,5.1232589e+06
4.2631477e+05,4.5188333e+06,2.6171099e+03,5.0511716e+06
4.2630917e+05,4.5188133e+06,2.6163868e+03,5.0685016e+06
4.2631154e+05,4.5188348e+06,2.6255384e+03,5.0578986e+06
4.2633263e+05,4.5188131e+06,2.6346249e+03,5.1093235e+06
4.2632578e+05,4.5188371e+06,2.6230314e+03,5.0679066e+06
4.2632494e+05,4.5188322e+06,2.6088213e+03,5.0363246e+06
4.2631755e+05,4.5188268e+06,2.6263922e+03,5.0514118e+06
4.2632930e+05,4.5188240e+06,2.5977917e+03,5.0123936e+06
4.2631358e+05,4.5188231e+06,2.6185990e+03,5.0560067e+06
4.2633732e+05,4.5188247e+06,2.6472042e+03,5.0991354e+06
4.2631376e+05,4.5188352e+06,2.6096384e+03,5.0409964e+06
4.2631016e+05,4.5188227e+06,2.6245850e+03,5.0802504e+06
4.2631849e+05,4.5188245e+06,2.6426933e+03,5.1142825e+06
4.2633076e+05,4.5188243e+06,2.6339852e+03,5.1050746e+06
4.2632949e+05,4.5188331e+06,2.6334506e+03,5.0806397e+06
4.2633620e+05,4.5188380e+06,2.6026172e+03,4.9979076e+06
4.2633539e+05,4.5188319e+06,2.6182279e+03,5.0236878e+06
4.2632803e+05,4.5188275e+06,2.5895307e+03,4.9896795e+06
4.2631397e+05,4.5188218e+06,2.6227999e+03,5.0915082e+06
4.2632702e+05,4.5188167e+06,2.6451092e+03,5.0938893e+06
4.2631286e+05,4.5188227e+06,2.6229159e+03,5.1015788e+06
4.2631579e+05,4.5188225e+06,2.6200652e+03,5.0673957e+06
4.2631709e+05,4.5188226e+06,2.6358221e+03,5.1040188e+06
4.2633076e+05,4.5188228e+06,2.6530028e+03,5.1694233e+06
4.2632797e+05,4.5188370e+06,2.6476507e+03,5.1209113e+06
4.2633008e+05,4.5188330e+06,2.6273209e+03,5.0785716e+06
4.2633389e+05,4.5188349e+06,2.6013064e+03,4.9989600e+06
4.2631680e+05,4.5188223e+06,2.6124892e+03,5.0734415e+06
4.2631717e+05,4.5188179e+06,2.6283699e+03,5.1162435e+06
4.2632732e+05,4.5188268e+06,2.6276104e+03,5.0704245e+06
4.2631788e+05,4.5188240e+06,2.6294655e+03,5.1156187e+06
4.2631606e+05,4.5188221e+06,2.6067071e+03,5.0399655e+06
4.2632025e+05,4.5188240e+06,2.6363524e+03,5.0946766e+06
4.2632942e+05,4.5188231e+06,2.6506501e+03,5.1645746e+06
4.2632607e+05,4.5188317e+06,2.6436580e+03,5.0996862e+06
4.2632984e+05,4.5188331e+06,2.6271141e+03,5.0755127e+06
4.2633525e+05,4.5188394e+06,2.6165442e+03,5.0470173e+06
4.2633496e+05,4.5188243e+06,2.5989773e+03,4.9646103e+06
4.2631503e+05,4.5188121e+06,2.6334416e+03,5.1260031e+06
